timestamp,rainfall
2025-04-01 00:00:00,0.0
2025-04-01 09:00:00,0.0
2025-04-01 10:00:00,0.0
2025-04-01 11:00:00,0.0
2025-04-01 12:00:00,0.0
2025-04-01 13:00:00,0.0
2025-04-01 14:00:00,0.0
2025-04-01 15:00:00,0.0
2025-04-01 16:00:00,0.0
2025-04-01 17:00:00,0.0
2025-04-01 18:00:00,0.0
2025-04-01 19:00:00,0.0
2025-04-01 20:00:00,0.0
2025-04-01 21:00:00,0.0
2025-04-01 22:00:00,0.0
2025-04-01 23:00:00,0.0
2025-04-02 09:00:00,0.0
2025-04-02 10:00:00,0.0
2025-04-02 11:00:00,0.0
2025-04-02 12:00:00,0.0
2025-04-02 13:00:00,0.0
2025-04-02 14:00:00,0.0
2025-04-02 15:00:00,0.0
2025-04-02 16:00:00,0.0
2025-04-02 17:00:00,0.0
2025-04-02 18:00:00,0.0
2025-04-02 19:00:00,0.0
2025-04-02 20:00:00,0.0
2025-04-02 21:00:00,0.0
2025-04-02 22:00:00,0.0
2025-04-02 23:00:00,0.0
2025-04-03 09:00:00,0.0
2025-04-03 10:00:00,0.0
2025-04-03 11:00:00,0.0
2025-04-03 12:00:00,0.0
2025-04-03 13:00:00,0.0
2025-04-03 14:00:00,0.0
2025-04-03 15:00:00,0.0
2025-04-03 16:00:00,0.0
2025-04-03 17:00:00,0.0
2025-04-03 18:00:00,2.652
2025-04-03 19:00:00,0.408
2025-04-03 20:00:00,0.204
2025-04-03 21:00:00,0.0
2025-04-03 22:00:00,0.0
2025-04-04 09:00:00,0.0
2025-04-04 10:00:00,0.0
2025-04-04 11:00:00,0.0
2025-04-04 12:00:00,0.0
2025-04-04 13:00:00,1.836
2025-04-04 14:00:00,0.0
2025-04-04 15:00:00,0.0
2025-04-04 16:00:00,0.0
2025-04-04 17:00:00,0.0
2025-04-04 18:00:00,0.0
2025-04-04 19:00:00,0.0
2025-04-04 20:00:00,0.0
2025-04-04 21:00:00,0.0
2025-04-04 22:00:00,0.0
2025-04-04 23:00:00,0.0
2025-04-05 11:00:00,0.0
2025-04-05 12:00:00,0.0
2025-04-05 13:00:00,0.0
2025-04-05 14:00:00,0.0
2025-04-05 15:00:00,0.0
2025-04-05 16:00:00,0.0
2025-04-05 17:00:00,0.0
2025-04-05 18:00:00,0.0
2025-04-05 19:00:00,0.408
2025-04-05 20:00:00,0.0
2025-04-05 21:00:00,0.0
2025-04-05 22:00:00,0.0
2025-04-05 23:00:00,0.0
2025-04-06 11:00:00,0.0
2025-04-06 12:00:00,0.0
2025-04-06 13:00:00,0.0
2025-04-06 14:00:00,0.0
2025-04-06 15:00:00,0.0
2025-04-06 16:00:00,0.0
2025-04-06 17:00:00,0.0
2025-04-06 18:00:00,0.0
2025-04-06 19:00:00,0.0
2025-04-06 20:00:00,0.0
2025-04-06 21:00:00,0.0
2025-04-06 22:00:00,0.0
