latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,rainfall_nearest_value,rainfall_nearest_distance,humidity_nearest_value,humidity_nearest_distance,wind_direction_nearest_value,wind_direction_nearest_distance,wind_speed_nearest_value,wind_speed_nearest_distance
1.3669383,103.9070277,1,26.1,3.676614946998314,4.95,2.1116338243795196,90.1,3.676614946998314,33.0,3.676614946998314,6.9,3.676614946998314
1.3644,103.9915,0,0.0,1.0594151082112884,0.0,1.0594151082112884,0.0,1.0594151082112884,303.0,6.389438292874045,2.0,6.389438292874045
1.384,103.747,0,25.0,2.997064413260058,7.222108230855687,1.4906568765643766,85.58135687993001,2.997064413260058,285.0,6.475600025842468,3.0,6.475600025842468
1.3713971,103.8782465,0,25.2,3.6414557762314836,0.17578568989074234,0.97142612572886,80.37054425810133,3.6414557762314836,45.0,3.6414557762314836,5.7,3.6414557762314836
1.3178,103.8918,0,25.7,2.483920121407658,1.1406931528630913,1.154441164991131,79.17393570336554,2.483920121407658,353.0,2.483920121407658,10.0,2.483920121407658
1.332778,103.8746238,0,23.9,1.6644592100984663,4.271693332376161,1.6644592100984663,87.78380025673758,1.6644592100984663,7.0,1.6644592100984663,9.3,1.6644592100984663
1.334,103.8471,0,24.4,2.848715578972751,4.3331715918676705,0.9697592779814542,84.60081842940697,2.848715578972751,35.0,2.848715578972751,3.4,2.848715578972751
1.334,103.8471,0,23.6,2.848715578972751,2.6097813118225783,0.9697592779814542,89.85242279391593,2.848715578972751,1.0,2.848715578972751,8.9,2.848715578972751
1.3521,103.8198,1,23.2,4.956061241628442,8.4,1.9143082025139122,99.3,4.956061241628442,2.0,4.956061241628442,9.1,4.956061241628442
1.302,103.9069,0,24.5,4.699047641119932,5.615017459754422,0.6301753380563337,80.93879056096792,4.699047641119932,40.0,4.699047641119932,4.4,4.699047641119932
1.334,103.8471,1,24.8,2.848715578972751,7.6,0.9697592779814542,99.3,2.848715578972751,324.0,2.848715578972751,6.2,2.848715578972751
1.3437173,103.8836814,0,25.7,0.6231020293747583,4.231548085082665,0.6231020293747583,80.06696406299827,0.6231020293747583,353.0,0.6231020293747583,10.0,0.6231020293747583
1.3292841,103.8710583,1,25.2,2.202124089973319,2.2,1.7234026086905894,93.0,2.202124089973319,323.0,2.202124089973319,10.8,2.202124089973319
1.3203,103.8438,0,23.8,1.349939147486466,4.3595270268465045,1.349939147486466,88.08642090128951,1.349939147486466,300.0,1.349939147486466,10.7,1.349939147486466
1.3312203,103.8818124,0,25.8,1.1684024779145619,6.169211535339266,0.8814497886855184,83.5585333325276,1.1684024779145619,289.0,1.1684024779145619,8.7,1.1684024779145619
1.330954,103.8705239,0,25.2,2.162197230745093,1.2373619016367632,1.7756305887250956,82.30054628859756,2.162197230745093,323.0,2.162197230745093,10.8,2.162197230745093
1.3521,103.8198,0,26.1,4.956061241628442,0.0,1.9143082025139122,81.52739983813562,4.956061241628442,12.0,4.956061241628442,4.0,4.956061241628442
1.3036,103.8318,1,23.3,0.9296146300829555,8.4,0.697401357080145,99.3,0.9296146300829555,321.0,0.9296146300829555,8.2,0.9296146300829555
1.3348802,103.7672269,0,24.8,1.0733484252095429,2.9613128673839952,1.0733484252095429,91.64996777672499,1.0733484252095429,324.0,1.0733484252095429,5.7,1.0733484252095429
1.3136136,103.9365203,1,24.4,2.89131935540986,2.8,2.89131935540986,94.6,2.89131935540986,270.0,2.89131935540986,8.7,2.89131935540986
1.2993119,103.8954604,1,23.8,4.568277465832308,5.4,1.0062625233524556,95.0,4.568277465832308,15.0,3.528186170423567,5.6,3.528186170423567
1.3554,103.8679,1,23.7,2.8003859266910425,5.122,1.5110334030986798,94.4,2.8003859266910425,12.0,2.8003859266910425,9.8,2.8003859266910425
1.3984,103.9072,1,26.1,6.819415050997955,3.4,0.545097923355928,89.0,6.819415050997955,96.0,6.819415050997955,8.2,6.819415050997955
1.3521,103.8198,0,22.4,4.956061241628442,0.6687666181042624,1.9143082025139122,87.05301518367658,4.956061241628442,299.0,4.956061241628442,6.5,4.956061241628442
1.3521,103.8198,0,24.1,4.956061241628442,0.07062798416900079,1.9143082025139122,90.42236232752296,4.956061241628442,46.0,4.956061241628442,2.7,4.956061241628442
1.302,103.9069,1,24.5,4.699047641119932,10.6,0.6301753380563337,92.7,4.699047641119932,40.0,4.699047641119932,4.4,4.699047641119932
1.3208441,103.8095081,1,23.9,3.2123662918675646,12.0,0.3794199672091922,99.3,3.2123662918675646,296.0,3.2123662918675646,10.0,3.2123662918675646
1.3644,103.9915,1,0.0,1.0594151082112884,0.0,1.0594151082112884,0.0,1.0594151082112884,29.0,6.389438292874045,2.5,6.389438292874045
1.334,103.8471,0,24.8,2.848715578972751,4.420691725332404,0.9697592779814542,85.34655313577684,2.848715578972751,324.0,2.848715578972751,6.2,2.848715578972751
1.3178,103.8918,1,24.1,2.483920121407658,2.8,1.154441164991131,92.6,2.483920121407658,124.0,2.483920121407658,10.3,2.483920121407658
1.3521,103.8198,0,24.7,4.956061241628442,0.4312766955297632,1.9143082025139122,85.33524922758404,4.956061241628442,287.0,4.956061241628442,6.0,4.956061241628442
1.3437173,103.8836814,0,24.8,0.6231020293747583,3.024312263629696,0.6231020293747583,84.62276810981454,0.6231020293747583,348.0,0.6231020293747583,10.7,0.6231020293747583
1.3348802,103.7672269,0,24.2,1.0733484252095429,4.076804950569471,1.0733484252095429,0.0,1.0733484252095429,2.0,1.0733484252095429,10.7,1.0733484252095429
